Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1970-01-02,809.2,809.2,809.2,809.2,0,0,0
1970-01-05,811.31,811.31,811.31,811.31,0,0,0
1970-01-06,803.66,803.66,803.66,803.66,0,0,0
1970-01-07,801.81,801.81,801.81,801.81,0,0,0
1970-01-08,802.07,802.07,802.07,802.07,0,0,0
1970-01-09,798.11,798.11,798.11,798.11,0,0,0
1970-01-12,790.52,790.52,790.52,790.52,0,0,0
1970-01-13,788.01,788.01,788.01,788.01,0,0,0
1970-01-14,787.16,787.16,787.16,787.16,0,0,0
1970-01-15,785.04,785.04,785.04,785.04,0,0,0
1970-01-16,782.6,782.6,782.6,782.6,0,0,0
1970-01-19,776.07,776.07,776.07,776.07,0,0,0
1970-01-20,777.85,777.85,777.85,777.85,0,0,0
1970-01-21,782.27,782.27,782.27,782.27,0,0,0
1970-01-22,786.1,786.1,786.1,786.1,0,0,0
1970-01-23,775.54,775.54,775.54,775.54,0,0,0
1970-01-26,768.88,768.88,768.88,768.88,0,0,0
1970-01-27,763.99,763.99,763.99,763.99,0,0,0
1970-01-28,758.84,758.84,758.84,758.84,0,0,0
1970-01-29,748.35,748.35,748.35,748.35,0,0,0
1970-02-02,746.44,746.44,746.44,746.44,0,0,0
1970-02-03,757.46,757.46,757.46,757.46,0,0,0
1970-02-04,754.49,754.49,754.49,754.49,0,0,0
1970-02-05,750.26,750.26,750.26,750.26,0,0,0
1970-02-06,752.77,752.77,752.77,752.77,0,0,0
1970-02-09,755.68,755.68,755.68,755.68,0,0,0
1970-02-10,746.63,746.63,746.63,746.63,0,0,0
1970-02-11,757.33,757.33,757.33,757.33,0,0,0
1970-02-12,755.61,755.61,755.61,755.61,0,0,0
1970-02-13,753.3,753.3,753.3,753.3,0,0,0
1970-02-16,753.7,753.7,753.7,753.7,0,0,0
1970-02-17,747.43,747.43,747.43,747.43,0,0,0
1970-02-18,756.8,756.8,756.8,756.8,0,0,0
1970-02-19,757.92,757.92,757.92,757.92,0,0,0
1970-02-20,757.46,757.46,757.46,757.46,0,0,0
1970-02-24,754.42,754.42,754.42,754.42,0,0,0
1970-02-25,768.28,768.28,768.28,768.28,0,0,0
1970-02-26,764.45,764.45,764.45,764.45,0,0,0
1970-03-02,780.23,780.23,780.23,780.23,0,0,0
1970-03-03,787.42,787.42,787.42,787.42,0,0,0
1970-03-04,788.15,788.15,788.15,788.15,0,0,0
1970-03-05,787.55,787.55,787.55,787.55,0,0,0
1970-03-06,784.12,784.12,784.12,784.12,0,0,0
1970-03-09,778.31,778.31,778.31,778.31,0,0,0
1970-03-10,779.7,779.7,779.7,779.7,0,0,0
1970-03-11,778.12,778.12,778.12,778.12,0,0,0
1970-03-12,776.47,776.47,776.47,776.47,0,0,0
1970-03-13,772.11,772.11,772.11,772.11,0,0,0
1970-03-16,765.05,765.05,765.05,765.05,0,0,0
1970-03-17,767.42,767.42,767.42,767.42,0,0,0
1970-03-18,767.95,767.95,767.95,767.95,0,0,0
1970-03-19,764.98,764.98,764.98,764.98,0,0,0
1970-03-20,763.66,763.66,763.66,763.66,0,0,0
1970-03-23,763.6,763.6,763.6,763.6,0,0,0
1970-03-24,773.76,773.76,773.76,773.76,0,0,0
1970-03-25,790.13,790.13,790.13,790.13,0,0,0
1970-03-26,791.05,791.05,791.05,791.05,0,0,0
1970-03-30,784.65,784.65,784.65,784.65,0,0,0
1970-04-01,792.04,792.04,792.04,792.04,0,0,0
1970-04-02,792.37,792.37,792.37,792.37,0,0,0
1970-04-03,791.84,791.84,791.84,791.84,0,0,0
1970-04-06,791.18,791.18,791.18,791.18,0,0,0
1970-04-07,791.64,791.64,791.64,791.64,0,0,0
1970-04-08,791.64,791.64,791.64,791.64,0,0,0
1970-04-09,792.5,792.5,792.5,792.5,0,0,0
1970-04-10,790.46,790.46,790.46,790.46,0,0,0
1970-04-13,785.9,785.9,785.9,785.9,0,0,0
1970-04-14,780.56,780.56,780.56,780.56,0,0,0
1970-04-15,782.6,782.6,782.6,782.6,0,0,0
1970-04-16,775.87,775.87,775.87,775.87,0,0,0
1970-04-17,775.94,775.94,775.94,775.94,0,0,0
1970-04-20,775.87,775.87,775.87,775.87,0,0,0
1970-04-21,772.51,772.51,772.51,772.51,0,0,0
1970-04-22,762.61,762.61,762.61,762.61,0,0,0
1970-04-23,750.59,750.59,750.59,750.59,0,0,0
1970-04-24,747.29,747.29,747.29,747.29,0,0,0
1970-04-27,735.15,735.15,735.15,735.15,0,0,0
1970-04-28,724.33,724.33,724.33,724.33,0,0,0
1970-04-29,737.39,737.39,737.39,737.39,0,0,0
1970-04-30,736.07,736.07,736.07,736.07,0,0,0
1970-05-01,733.63,733.63,733.63,733.63,0,0,0
1970-05-04,714.56,714.56,714.56,714.56,0,0,0
1970-05-05,709.74,709.74,709.74,709.74,0,0,0
1970-05-06,718.39,718.39,718.39,718.39,0,0,0
1970-05-07,723.07,723.07,723.07,723.07,0,0,0
1970-05-08,717.73,717.73,717.73,717.73,0,0,0
1970-05-11,710.07,710.07,710.07,710.07,0,0,0
1970-05-12,704.59,704.59,704.59,704.59,0,0,0
1970-05-13,693.84,693.84,693.84,693.84,0,0,0
1970-05-14,684.79,684.79,684.79,684.79,0,0,0
1970-05-15,702.22,702.22,702.22,702.22,0,0,0
1970-05-18,702.81,702.81,702.81,702.81,0,0,0
1970-05-19,691.4,691.4,691.4,691.4,0,0,0
1970-05-20,676.55,676.55,676.55,676.55,0,0,0
1970-05-21,665.25,665.25,665.25,665.25,0,0,0
1970-05-22,662.17,662.17,662.17,662.17,0,0,0
1970-05-25,641.36,641.36,641.36,641.36,0,0,0
1970-05-26,631.16,631.16,631.16,631.16,0,0,0
1970-05-27,663.2,663.2,663.2,663.2,0,0,0
1970-05-28,684.15,684.15,684.15,684.15,0,0,0
1970-06-01,710.36,710.36,710.36,710.36,0,0,0
1970-06-02,709.61,709.61,709.61,709.61,0,0,0
1970-06-03,713.86,713.86,713.86,713.86,0,0,0
1970-06-04,706.53,706.53,706.53,706.53,0,0,0
1970-06-05,695.03,695.03,695.03,695.03,0,0,0
1970-06-08,700.23,700.23,700.23,700.23,0,0,0
1970-06-09,700.16,700.16,700.16,700.16,0,0,0
1970-06-10,694.35,694.35,694.35,694.35,0,0,0
1970-06-11,684.42,684.42,684.42,684.42,0,0,0
1970-06-12,684.21,684.21,684.21,684.21,0,0,0
1970-06-15,687.36,687.36,687.36,687.36,0,0,0
1970-06-16,706.26,706.26,706.26,706.26,0,0,0
1970-06-17,704.68,704.68,704.68,704.68,0,0,0
1970-06-18,712.69,712.69,712.69,712.69,0,0,0
1970-06-19,720.43,720.43,720.43,720.43,0,0,0
1970-06-22,716.11,716.11,716.11,716.11,0,0,0
1970-06-23,698.11,698.11,698.11,698.11,0,0,0
1970-06-24,692.29,692.29,692.29,692.29,0,0,0
1970-06-25,693.59,693.59,693.59,693.59,0,0,0
1970-06-26,687.84,687.84,687.84,687.84,0,0,0
1970-06-29,682.91,682.91,682.91,682.91,0,0,0
1970-07-01,687.64,687.64,687.64,687.64,0,0,0
1970-07-02,689.14,689.14,689.14,689.14,0,0,0
1970-07-06,675.66,675.66,675.66,675.66,0,0,0
1970-07-07,669.36,669.36,669.36,669.36,0,0,0
1970-07-08,682.09,682.09,682.09,682.09,0,0,0
1970-07-09,692.77,692.77,692.77,692.77,0,0,0
1970-07-10,700.1,700.1,700.1,700.1,0,0,0
1970-07-13,702.22,702.22,702.22,702.22,0,0,0
1970-07-14,703.04,703.04,703.04,703.04,0,0,0
1970-07-15,711.66,711.66,711.66,711.66,0,0,0
1970-07-16,723.44,723.44,723.44,723.44,0,0,0
1970-07-17,735.08,735.08,735.08,735.08,0,0,0
1970-07-20,733.91,733.91,733.91,733.91,0,0,0
1970-07-21,722.07,722.07,722.07,722.07,0,0,0
1970-07-22,724.67,724.67,724.67,724.67,0,0,0
1970-07-23,732.68,732.68,732.68,732.68,0,0,0
1970-07-24,730.22,730.22,730.22,730.22,0,0,0
1970-07-27,730.08,730.08,730.08,730.08,0,0,0
1970-07-28,731.45,731.45,731.45,731.45,0,0,0
1970-07-29,735.56,735.56,735.56,735.56,0,0,0
1970-07-30,734.73,734.73,734.73,734.73,0,0,0
1970-08-03,722.96,722.96,722.96,722.96,0,0,0
1970-08-04,725.9,725.9,725.9,725.9,0,0,0
1970-08-05,724.81,724.81,724.81,724.81,0,0,0
1970-08-06,722.82,722.82,722.82,722.82,0,0,0
1970-08-07,725.7,725.7,725.7,725.7,0,0,0
1970-08-10,713.92,713.92,713.92,713.92,0,0,0
1970-08-11,712.55,712.55,712.55,712.55,0,0,0
1970-08-12,710.64,710.64,710.64,710.64,0,0,0
1970-08-13,707.35,707.35,707.35,707.35,0,0,0
1970-08-14,710.84,710.84,710.84,710.84,0,0,0
1970-08-17,709.06,709.06,709.06,709.06,0,0,0
1970-08-18,716.66,716.66,716.66,716.66,0,0,0
1970-08-19,723.99,723.99,723.99,723.99,0,0,0
1970-08-20,729.6,729.6,729.6,729.6,0,0,0
1970-08-21,745.41,745.41,745.41,745.41,0,0,0
1970-08-24,759.58,759.58,759.58,759.58,0,0,0
1970-08-25,758.97,758.97,758.97,758.97,0,0,0
1970-08-26,760.47,760.47,760.47,760.47,0,0,0
1970-08-27,759.79,759.79,759.79,759.79,0,0,0
1970-08-28,765.81,765.81,765.81,765.81,0,0,0
1970-09-01,758.15,758.15,758.15,758.15,0,0,0
1970-09-02,756.64,756.64,756.64,756.64,0,0,0
1970-09-03,765.27,765.27,765.27,765.27,0,0,0
1970-09-04,771.15,771.15,771.15,771.15,0,0,0
1970-09-08,773.14,773.14,773.14,773.14,0,0,0
1970-09-09,766.43,766.43,766.43,766.43,0,0,0
1970-09-10,760.75,760.75,760.75,760.75,0,0,0
1970-09-11,761.84,761.84,761.84,761.84,0,0,0
1970-09-14,757.12,757.12,757.12,757.12,0,0,0
1970-09-15,750.55,750.55,750.55,750.55,0,0,0
1970-09-16,754.31,754.31,754.31,754.31,0,0,0
1970-09-17,757.67,757.67,757.67,757.67,0,0,0
1970-09-18,758.49,758.49,758.49,758.49,0,0,0
