,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Day_Week
0,1993-01-29,26.47,26.47,26.34,26.45,1003200,0.0,0,Friday
1,1993-02-01,26.47,26.64,26.47,26.64,480500,0.0,0,Monday
2,1993-02-02,26.62,26.72,26.57,26.7,201300,0.0,0,Tuesday
3,1993-02-03,26.74,27.0,26.72,26.98,529400,0.0,0,Wednesday
4,1993-02-04,27.07,27.15,26.77,27.09,531500,0.0,0,Thursday
5,1993-02-05,27.07,27.13,26.92,27.07,492100,0.0,0,Friday
6,1993-02-08,27.07,27.17,27.04,27.07,596100,0.0,0,Monday
7,1993-02-09,26.98,26.98,26.83,26.89,122100,0.0,0,Tuesday
8,1993-02-10,26.89,26.94,26.81,26.92,379600,0.0,0,Wednesday
9,1993-02-11,26.96,27.17,26.96,27.06,19500,0.0,0,Thursday
10,1993-02-12,27.02,27.02,26.85,26.85,42500,0.0,0,Friday
11,1993-02-16,26.77,26.77,26.13,26.17,374800,0.0,0,Tuesday
12,1993-02-17,26.17,26.21,26.06,26.15,210900,0.0,0,Wednesday
13,1993-02-18,26.45,26.45,25.78,26.13,378100,0.0,0,Thursday
14,1993-02-19,26.13,26.23,26.1,26.23,34900,0.0,0,Friday
15,1993-02-22,26.3,26.36,26.23,26.32,513600,0.0,0,Monday
16,1993-02-23,26.4,26.42,26.17,26.3,373700,0.0,0,Tuesday
17,1993-02-24,26.32,26.64,26.32,26.64,26300,0.0,0,Wednesday
18,1993-02-25,26.62,26.72,26.57,26.7,44500,0.0,0,Thursday
19,1993-02-26,26.75,26.75,26.6,26.74,66200,0.0,0,Friday
20,1993-03-01,26.83,26.83,26.62,26.66,66500,0.0,0,Monday
21,1993-03-02,26.68,27.06,26.64,27.06,182400,0.0,0,Tuesday
22,1993-03-03,27.09,27.19,27.06,27.17,280100,0.0,0,Wednesday
23,1993-03-04,27.21,27.21,27.02,27.02,89500,0.0,0,Thursday
24,1993-03-05,27.06,27.17,26.92,26.94,40000,0.0,0,Friday
25,1993-03-08,27.0,27.55,27.0,27.55,50800,0.0,0,Monday
26,1993-03-09,27.49,27.51,27.39,27.45,169300,0.0,0,Tuesday
27,1993-03-10,27.45,27.51,27.34,27.51,194400,0.0,0,Wednesday
28,1993-03-11,27.53,27.6,27.39,27.43,70900,0.0,0,Thursday
29,1993-03-12,27.21,27.23,26.98,27.15,643600,0.0,0,Friday
30,1993-03-15,27.13,27.28,27.13,27.28,310800,0.0,0,Monday
31,1993-03-16,27.28,27.36,27.28,27.28,30800,0.0,0,Tuesday
32,1993-03-17,27.24,27.24,27.07,27.11,21800,0.0,0,Wednesday
33,1993-03-18,27.23,27.39,27.23,27.28,59300,0.0,0,Thursday
34,1993-03-19,27.39,27.39,27.24,27.24,66900,0.213,0,Friday
35,1993-03-22,26.98,27.15,26.96,27.09,183400,0.0,0,Monday
36,1993-03-23,27.16,27.18,27.11,27.15,55200,0.0,0,Tuesday
37,1993-03-24,27.11,27.26,26.98,27.15,37200,0.0,0,Wednesday
